Group,Creation Day,Creation Month,Creation Year,Day of Value,Month of Value,Year of Value,Geography,ValueType,Model,Version,Value,Quantile 0.05,Quantile 0.1,Quantile 0.15,Quantile 0.2,Quantile 0.25,Quantile 0.3,Quantile 0.35,Quantile 0.4,Quantile 0.45,Quantile 0.5,Quantile 0.55,Quantile 0.6,Quantile 0.65,Quantile 0.7,Quantile 0.75,Quantile 0.8,Quantile 0.85,Quantile 0.9,Quantile 0.95
LSHTM,8,6,2020,8,6,2020,East of England,hospital_inc,EpiSoon,1.0,48,36,38,40,42,43,44,45,47,47,48,49.450000000000045,51,52,53,54,56,58,61,66
LSHTM,8,6,2020,9,6,2020,East of England,hospital_inc,EpiSoon,1.0,46,30,34,36,38,39,41,42,43,45,46,47,48,50,51,53,55,58,61,67
LSHTM,8,6,2020,10,6,2020,East of England,hospital_inc,EpiSoon,1.0,45,29,32,35,37,38,40,41,42,44,45,46,48,49,51,53,55,58,62,68
LSHTM,8,6,2020,11,6,2020,East of England,hospital_inc,EpiSoon,1.0,44,28,31,33,35,37,39,40,41,43,44,46,47,49,51,53,56,59,64,71
LSHTM,8,6,2020,12,6,2020,East of England,hospital_inc,EpiSoon,1.0,44,27,30,33,34,36,38,39,41,42,44,45,47,49,51,53,56,60,65,73
LSHTM,8,6,2020,13,6,2020,East of England,hospital_inc,EpiSoon,1.0,43,25,29,31,33,35,37,38,40,41,43,44,46,48,50,53,56,60,65,74
LSHTM,8,6,2020,14,6,2020,East of England,hospital_inc,EpiSoon,1.0,42,24,28,30,32,34,36,37,39,40,42,44,46,48,50,53,56,60,66,76
LSHTM,8,6,2020,15,6,2020,East of England,hospital_inc,EpiSoon,1.0,42,23,27,29,31,33,35,37,38,40,42,43,45,47,50,52,56,60,67,79
LSHTM,8,6,2020,16,6,2020,East of England,hospital_inc,EpiSoon,1.0,41,22,26,28,30,32,34,35,37,39,41,43,45,47,49,52,56,61,67,79
LSHTM,8,6,2020,17,6,2020,East of England,hospital_inc,EpiSoon,1.0,40,21,24,27,29,31,33,35,36,38,40,42,44,46,49,52,55,61,68,80
LSHTM,8,6,2020,18,6,2020,East of England,hospital_inc,EpiSoon,1.0,39,20,23,26,28,30,32,34,35,37,39,41,43,46,48,51,55,61,69,83
LSHTM,8,6,2020,19,6,2020,East of England,hospital_inc,EpiSoon,1.0,38,19,23,25,27,29,31,33,35,36,38,40,43,45,48,51,55,61,69,85
LSHTM,8,6,2020,20,6,2020,East of England,hospital_inc,EpiSoon,1.0,37,19,22,24,27,28,30,32,34,35,37,40,42,44,47,51,56,61,71,87
LSHTM,8,6,2020,21,6,2020,East of England,hospital_inc,EpiSoon,1.0,37,17,21,24,26,28,30,31,33,35,37,40,42,45,48,51,55.20000000000027,62,72,88.05000000000018
LSHTM,8,6,2020,22,6,2020,East of England,hospital_inc,EpiSoon,1.0,36,17,20,22,24,27,29,30,32,34,36,39,41,44,47,51,56,64,74,93
LSHTM,8,6,2020,23,6,2020,East of England,hospital_inc,EpiSoon,1.0,36,16,20,22,24,26,28,30,31.600000000000136,34,36,38,40,43,46,50,55,62,74,94
LSHTM,8,6,2020,24,6,2020,East of England,hospital_inc,EpiSoon,1.0,35,15,19,21,23,25,27,29,31,33,35,37,40,43,46,50,55,63,75,101
LSHTM,8,6,2020,25,6,2020,East of England,hospital_inc,EpiSoon,1.0,35,14,18,20,23,25,27,28,31,32,35,37,39,42,46,50,55,62,74,102.05000000000018
LSHTM,8,6,2020,26,6,2020,East of England,hospital_inc,EpiSoon,1.0,34,14,17,20,22,24,26,28,30,32,34,36,39,41,45,49.25,55,63,76,103
LSHTM,8,6,2020,27,6,2020,East of England,hospital_inc,EpiSoon,1.0,33,13,17,19,21,23,25,27,29,31,33,36,38,41,45,49,55,64,77,104.05000000000018
LSHTM,8,6,2020,28,6,2020,East of England,hospital_inc,EpiSoon,1.0,32,13,16,18,21,23,24,26,28,30,32,35,37,40,44,49,54,63,77,107.05000000000018
LSHTM,8,6,2020,29,6,2020,East of England,hospital_inc,EpiSoon,1.0,32,12,15,18,20,22,24,26,28,30,32,34,36,40,44,49,55,64,78,110
LSHTM,8,6,2020,30,6,2020,East of England,hospital_inc,EpiSoon,1.0,31,11,14,17,19,21,23,25,27,29,31,33,36,40,44,49,55,66,81,116
LSHTM,8,6,2020,8,6,2020,England,hospital_inc,EpiSoon,1.0,445,399.95,411,417,423,427,431,435,439,442,445,449,452,456,460,464,468,473,481,491
LSHTM,8,6,2020,9,6,2020,England,hospital_inc,EpiSoon,1.0,436,383,394.90000000000003,402,408,414,418,422,427,431,436,440,443,448,453,457,463,469,477,491.0500000000002
LSHTM,8,6,2020,10,6,2020,England,hospital_inc,EpiSoon,1.0,427,372,383,392,398,405,409,414,418,423,427,431,436,441,446,451,457,464,472,489
LSHTM,8,6,2020,11,6,2020,England,hospital_inc,EpiSoon,1.0,419,362,374,383,389,394,400,405,410,414,419,423,428.4000000000001,433,439,445,452,461,472,488
LSHTM,8,6,2020,12,6,2020,England,hospital_inc,EpiSoon,1.0,411,350,365,374,381,386,391.70000000000005,397,401,406.5500000000002,411,416,421,427,432,437.25,445,454,466,484.0500000000002
LSHTM,8,6,2020,13,6,2020,England,hospital_inc,EpiSoon,1.0,403,344,356,365,372,378,383.70000000000005,389,394,399,403,409,414,420,426,432,440,450.14999999999964,464,482
LSHTM,8,6,2020,14,6,2020,England,hospital_inc,EpiSoon,1.0,396,331,345.90000000000003,354,361,368,374,380,386,391,396,402,407,413,419,426,434,444,456,478
LSHTM,8,6,2020,15,6,2020,England,hospital_inc,EpiSoon,1.0,388,325,338,348,355,361,367,373,378,383,388,394,399,406,412,420,428,439,453.10000000000036,477
LSHTM,8,6,2020,16,6,2020,England,hospital_inc,EpiSoon,1.0,381.5,314,329,340,347,354,360,365,370,376,381.5,387,393,399,406,413,421,433,448,474
LSHTM,8,6,2020,17,6,2020,England,hospital_inc,EpiSoon,1.0,375,307,322,331,339,346,352,358,363,369,375,380,386,392,399,407,417,429,446,473
LSHTM,8,6,2020,18,6,2020,England,hospital_inc,EpiSoon,1.0,368,298,314,323,331,338,344,350,355,362,368,374,381,387,394,403,413,425,442,469
LSHTM,8,6,2020,19,6,2020,England,hospital_inc,EpiSoon,1.0,361,289,305,315,324,331,338,344,350,355,361,367,373,381,388,397,408,421,437,465
LSHTM,8,6,2020,20,6,2020,England,hospital_inc,EpiSoon,1.0,355,284,299,309,317,324,331,338,343,349,355,360,366,374,382.2999999999997,391,402,414,433,462.0500000000002
LSHTM,8,6,2020,21,6,2020,England,hospital_inc,EpiSoon,1.0,348,277,291,301,309,317,323,329,335.60000000000014,342,348,355,362,369,377,387,397,411,428.10000000000036,461
LSHTM,8,6,2020,22,6,2020,England,hospital_inc,EpiSoon,1.0,342,268,284.90000000000003,295,303,311,317,324,330,336,342,348,355,362,371,380,392,407,427,460
LSHTM,8,6,2020,23,6,2020,England,hospital_inc,EpiSoon,1.0,335,261,276,287,295,302.75,310,316,323,329,335,342,350,357,365,375,387,403,425,459.0500000000002
LSHTM,8,6,2020,24,6,2020,England,hospital_inc,EpiSoon,1.0,329,255,270,281,288,295,303,309,316,323,329,336.4500000000003,344,352,360,370,381,397,415,453
LSHTM,8,6,2020,25,6,2020,England,hospital_inc,EpiSoon,1.0,323.5,248,264,275,283,290,296,303,309.60000000000014,316,323.5,331,339,348,357,369,380,393.14999999999964,416,453
LSHTM,8,6,2020,26,6,2020,England,hospital_inc,EpiSoon,1.0,317,241,255,266,275,283,291,297,304,311,317,325,332,340.3499999999999,350,360,371,388,411,449
LSHTM,8,6,2020,27,6,2020,England,hospital_inc,EpiSoon,1.0,312,234,251,261,270,277,284,291.64999999999986,299,305,312,320,327,335,345,355,369,386.14999999999964,408,448.0500000000002
LSHTM,8,6,2020,28,6,2020,England,hospital_inc,EpiSoon,1.0,306,229,245,255,264,271,278,285,293,299,306,313.4500000000003,321,330,341,352,365,382,407,447
LSHTM,8,6,2020,29,6,2020,England,hospital_inc,EpiSoon,1.0,301,223,238,249,258,267,274,281,288,295,301,309,316,324,333,344,359,379,404,446
LSHTM,8,6,2020,30,6,2020,England,hospital_inc,EpiSoon,1.0,295,216.95000000000002,231.90000000000003,243,252,260,268,274,281,288,295,303,311,320,330,342,356,373,399,440
LSHTM,8,6,2020,8,6,2020,London,hospital_inc,EpiSoon,1.0,50,38,40,42,44,45,46,47,48,49,50,51,52,53,55,56,58,59,63,67
